group_id: [144,6]

Description: C9 : (C8 : C2)

   Subgroups        rho
  1                1
  C2               1
  C2               1
  C3               1
  C4               1
  C4               1
  C2 x C2          1
  S3               1
  C6               1
  C8               1
  C4 x C2          1
  C8               1
  C9               1
  D6               1
  C12              1
  C3 : C4          1
  C8 : C2          1
  C18              1
  D9               1
  C4 x S3          1
  C24              1
  C3 : C8          1
  D18              1
  C36              1
  C9 : C4          1
  C24 : C2         1
  C4 x D9          1
  C72              1
  C9 : C8          1
  C9 : (C8 : C2)   1
